cell_name,cell_idx,drug_name,drug_idx,IC50
KCL-22,692,FMK,144,3.987238
FLO-1,725,CX-5461,108,4.135982
HCC1419,597,JNJ38877605,196,3.374088
SW626,829,LJI308,220,5.675467
VCaP,751,Sapitinib,316,6.492987
RCH-ACV,257,BPTES,77,3.44453
NCI-H1703,494,AZD1480,41,0.528934
A253,537,Vinblastine,380,-2.848002
SW156,825,Vismodegib,382,5.878832
UACC-62,22,AZD6738,54,3.254341
KYM-1,344,CHIR-99021,96,4.460623
SW626,829,Afuresertib,11,4.589472
OV-56,277,ZG-10,408,1.906935
AsPC-1,610,Cyclophosphamide,110,7.129301
SK-MM-2,210,VNLG/124,383,1.564252
BC-1,608,AS605240,28,1.665726
NCI-H2172,626,SGC0946,331,2.749625
U-118-MG,853,OF-1,254,5.793348
SK-N-DZ,771,PFI3,281,5.177204
MOLT-4,49,PHA-793887,283,0.455337
KMS-12-BM,707,GSK1070916,160,-0.021702
TE-4,95,Rapamycin,303,-1.125792
MS-1,92,BEN,63,3.623766
ALL-SIL,682,Saracatinib,317,-1.669916
OCUB-M,88,NSC-87877,247,4.784475
NCI-H2066,470,AGK2,14,3.911315
EW-7,58,LMP744,221,-2.585516
NCI-H835,802,AZD7762,55,0.590143
TE-8,156,PHA-665752,282,3.482951
QGP-1,188,Linsitinib,219,4.92992
QGP-1,188,Phenformin,284,6.742537
IHH-4,385,glutathione,154,7.815912
EJM,731,Dactolisib,117,-1.655538
SNB75,18,Staurosporine,339,-2.675749
SCC-4,755,JNJ38877605,196,5.84929
HCC-366,746,UNC0638,372,2.627674
NCI-H1355,415,GSK690693,173,5.629611
Raji,567,WEHI-539,389,4.925263
NCI-H748,786,Refametinib,304,5.250227
NCI-H2347,481,KU-55933,206,5.301109
HT,428,Venetoclax,379,3.448236
MFH-ino,137,Quizartinib,302,2.952791
Hs-939-T,430,TW 37,367,-1.690785
LU-139,133,AZD3514,43,4.194491
A498,35,CI-1033,97,5.497026
MOLM-16,246,BMS-345541,71,1.534198
KYSE-450,712,VE-822,376,3.73474
KP-N-YN,348,MK-8776,234,0.209012
MOLT-16,243,AT-7519,30,-0.860766
KU-19-19,718,RU-SKI 43,309,5.33454
HT-1376,444,BMS-754807,74,4.607887
KU812,144,OSU-03012,260,1.376865
KMH-2,400,PAC-1,264,1.265395
OACM5-1,252,Entospletinib,131,3.524477
OMC-1,87,Dactinomycin,116,-5.378748
KNS-62,389,Apitolisib,23,3.870197
Hey,664,Dactinomycin,116,-6.556811
SW626,829,Nilotinib,243,3.371161
COR-L321,307,Torin 2,359,-0.909936
EN,729,NVP-BHG712,251,3.024693
MFE-296,164,LGK974,216,2.994275
RCC-JW,551,XMD8-92,403,2.795733
COR-L23,312,UNC1215,374,2.207158
ML-1,250,Obatoclax Mesylate,253,-1.305828
ME-1,168,AZD1208,39,5.149628
MFE-319,163,Veliparib,378,5.410545
OAW-28,283,PRT062607,295,5.032341
NCI-H1155,419,AS605240,28,2.892819
KP-2,371,NSC-207895,246,4.192199
OC-314,74,Motesanib,237,5.162193
SNU-16,812,P22077,263,4.246344
NALM-6,242,Gefitinib,152,2.686118
MDA-MB-157,323,Topotecan,358,0.937338
NCI-H510A,627,CZC24832,112,4.774067
MONO-MAC-6,708,Telomerase Inhibitor IX,349,-0.722456
CRO-AP2,650,LGK974,216,3.635936
AsPC-1,610,Vismodegib,382,8.268158
LS-513,443,ZSTK474,412,0.914203
G-292-Clone-A141B1,580,BIBR-1532,67,5.160522
KYSE-520,710,alpha-lipoic acid,20,9.422915
ME-1,168,(5Z)-7-Oxozeaenol,0,1.099194
SK-MES-1,774,ACY-1215,9,4.189614
KURAMOCHI,346,LFM-A13,215,5.01147
PANC-04-03,806,AZD8835,58,2.881507
NCI-H64,795,BX795,82,1.59859
BICR22,287,Telomerase Inhibitor IX,349,-1.0692
TGW,154,Savolitinib,318,2.383454
WM793B,666,Tenovin-6,353,1.32318
U-2-OS,852,RU-SKI 43,309,3.002356
JHOS-3,141,PFI-3,280,5.122226
TK,153,MK-1775,232,-0.934771
SISO,213,Trametinib,363,2.805067
BFTC-905,678,ICL-SIRT078,186,2.492085
BC-1,608,Ponatinib,293,0.116072
OCI-LY-19,266,Nilotinib,243,2.862664
U-266,231,A-83-01,6,4.854194
NCI-H660,792,CCT007093,90,4.751576
TE-4,95,Torin 2,359,-1.535058
SUP-B8,838,VX-702,387,3.96253
HMV-II,131,AZ6102,36,1.151943
NCI-H1694,495,NG-25,242,3.884013
MS751,412,Ispinesib Mesylate,194,-1.779815
NCI-H1155,419,L-Oxonoreleagnine,208,2.728605
U251,24,LCL161,210,5.879335
AM-38,294,Pemetrexed,274,3.767481
HC-1,749,glutathione,154,7.471522
CAPAN-1,634,Tubastatin A,366,5.883593
LU-135,134,LIMK1 inhibitor BMS4,217,4.684274
KMRC-20,392,CAY10603,88,2.387549
NCI-H1993,510,Bicalutamide,68,5.94381
OE19,281,PLX-4720,290,5.22691
COLO-684,46,GSK2606414,164,3.947901
SK-LMS-1,780,ETP-45835,139,5.120949
no-11,362,NU7441,249,3.546223
NCI-H2342,482,MK-2206,233,2.919977
HSC-4,376,SNX-2112,336,0.487726
TGBC11TKB,96,SL0101,334,4.411664
G-292-Clone-A141B1,580,NSC-87877,247,4.341209
LOXIMVI,52,XMD14-99,401,4.751661
SK-OV-3,6,PRT062607,295,4.714229
EFM-19,735,AZD6482,53,3.724204
K-562,532,BMS-509744,72,3.872346
NCI-H1355,415,AZD5582,50,2.825744
KNS-62,389,Cyclophosphamide,110,5.000838
G-402,577,T0901317,343,4.382859
FTC-133,68,Capivasertib,86,1.685374
T-T,152,Bleomycin,70,0.236295
UWB1.289,549,PCI-34051,270,4.647599
SCC-25,756,Talazoparib,345,4.417467
A498,35,Nelarabine,241,6.718705
COLO-800,314,Sepantronium bromide,328,-4.193864
HOP-62,39,Daporinad,118,-4.101807
5637,544,WYE-125132,394,0.288725
JSC-1,453,Fedratinib,140,-0.604406
P30-OHK,191,AZD5363,48,2.746884
D-423MG,64,kb NB 142-70,201,2.359987
IA-LM,143,HG-5-88-01,178,3.342308
KYSE-50,342,CI-1033,97,2.125295
8-MG-BA,686,GSK1904529A,161,4.272908
KMOE-2,706,BMS-754807,74,1.55821
OE33,279,GSK2110183B,162,4.593468
HuP-T4,325,Elephantin,127,5.910311
TGBC1TKB,97,GSK591,171,6.041108
P31-FUJ,190,AKT inhibitor VIII,16,3.239626
ES8,106,Pyridostatin,296,1.641793
NCI-H716,526,A-83-01,6,4.802842
NCI-H2085,468,Cyclophosphamide,110,5.685725
SC-1,217,Epothilone B,134,-4.598935
NB17,100,Dasatinib,119,1.067326
FU-OV-1,724,AZD5363,48,3.510156
Jurkat,703,RU-SKI 43,309,2.628212
Becker,292,Acetalax,8,5.081406
NB6,98,Alectinib,17,4.118716
HCC2157,522,XMD14-99,401,5.034027
JHOS-2,142,CRT0105950,106,4.121622
PFSK-1,801,Ipatasertib,192,2.125981
no-11,362,MK-8776,234,3.478119
SHP-77,752,AS605240,28,2.482832
SW620,565,GSK2606414,164,4.121502
SK-LU-1,779,AT-7519,30,1.184209
A172,540,BPTES,77,2.796664
SCC-15,757,UNC0379,371,5.412984
KP-4,138,Leflunomide,212,4.758098
KS-1,347,T0901317,343,5.361608
NCI-H1703,494,GDC0810,151,4.751678
CAL-54,632,GSK269962A,165,2.558973
SK-OV-3,6,Nelarabine,241,6.4725
697,750,N-acetyl cysteine,239,9.61
NCI-H1623,501,HG6-64-1,179,4.590579
NCI-H835,802,AZD8186,57,3.227316
MFE-296,164,Elesclomol,128,-3.699879
SU-DHL-4,222,Cyclophosphamide,110,3.48057
OVISE,353,GSK1070916,160,1.70399
OAW-42,282,GW441756,175,3.277175
23132-87,670,PD173074,272,4.429554
DND-41,645,Omipalisib,256,-2.720725
IPC-298,738,Temsirolimus,351,-0.840389
KYSE-520,710,Mycophenolic acid,238,4.153744
NCI-H292,295,Sabutoclax,314,-0.950836
RT-112,219,Dinaciclib,121,-3.7422
KARPAS-620,694,KIN001-244,202,1.502938
COR-L32,308,EPZ004777,135,4.496495
697,750,YK-4-279,405,-0.571283
NCI-H460,48,GSK591,171,1.83331
NCI-H1048,422,Fulvestrant,149,3.381869
SKM-1,200,SN-38,335,-5.686956
MOG-G-CCM,326,PF-4708671,277,5.142242
KU812,144,BEN,63,-0.457419
SK-PN-DW,768,Zibotentan,409,5.271486
JIMT-1,721,Remodelin,305,5.026467
C3A,868,Linifanib,218,1.814398
NCI-H1838,518,YK-4-279,405,6.682846
L-428,157,Tanespimycin,347,0.580425
OV-90,810,AZD1332,40,6.551137
HO-1-N-1,380,kb NB 142-70,201,2.404078
NCI-H1581,502,A-443654,4,-0.704603
UM-UC-3,843,FTY-720,148,2.292476
AN3-CA,611,RVX-208,312,4.960222
OVCA433,662,Navitoclax,240,4.847102
CHP-126,127,AZD1480,41,1.99054
UACC-257,23,Methotrexate,225,-1.907237
SK-MEL-30,211,DMOG,122,6.293902
A172,540,Sphingosine Kinase 1 Inhibitor II,338,3.369686
COLO-783,653,PF-562271,278,3.450177
NCI-H847,816,BPTES,77,3.670707
AM-38,294,ARRY-520,26,-2.986932
TUR,859,UNC1215,374,1.998595
NCI-H146,460,PFI3,281,5.527107
NCI-H1793,508,AZD2014,42,0.975706
DMS-273,316,GW441756,175,3.565876
WIL2-NS,773,Belinostat,62,-3.339457
BICR78,301,5-azacytidine,1,2.34049
KNS-62,389,NVP-ADW742,250,3.917668
NCI-H2171,488,Tubastatin A,366,4.252541
IM-95,386,BIBF-1120,66,1.999222
KYSE-70,709,Venetoclax,379,3.393705
ME-1,168,Foretinib,145,2.755741
SNU-C1,856,Obatoclax Mesylate,253,1.958878
IMR-5,860,WZ4003,397,4.356945
HuO-3N1,372,TAK-715,344,7.229814
Detroit562,558,Vismodegib,382,4.590269
LS-123,523,Entinostat,130,3.901691
NCI-H209,466,GNF-2,156,2.108209
AU565,609,AZD3759,44,1.940827
MRK-nu-1,352,Acetalax,8,-1.645195
SW837,560,Pazopanib,269,5.546033
OCI-AML3,268,Venetoclax,379,0.12355
LNCaP-Clone-FGC,448,A-83-01,6,3.415474
BE-13,871,LJI308,220,4.965717
K-562,532,WHI-P97,391,3.473054
HCT-15,531,Epothilone B,134,-7.244219
GR-ST,876,OSI-930,258,3.356896
A549,612,Bosutinib,76,2.122645
CHP-126,127,Tozasertib,361,0.339031
Saos-2,758,CPI-613,103,6.000017
OAW-28,283,LDN-193189,211,1.046789
NCI-H2170,473,SB52334,321,5.035842
NCI-H1734,493,Ribociclib,306,3.459493
D-283MED,602,T0901317,343,3.955975
KMRC-1,393,C-75,83,5.741744
A388,535,Salubrinal,315,3.904775
D-283MED,602,Rucaparib,310,4.025566
KYAE-1,324,BAM7,60,3.908413
SW626,829,AZD1332,40,4.232795
SF126,202,PFI-3,280,4.806694
NB7,55,LMP744,221,1.561148
PF-382,259,Linifanib,218,2.266493
RCC-MF,550,AZD4547,45,5.577375
NB14,101,Pazopanib,269,4.335954
OVCAR-4,16,ZSTK474,412,1.01558
KNS-42,390,Ipatasertib,192,4.737907
NCI-H460,48,GSK343,169,2.970544
TE-10,179,AZD3759,44,1.8891
NCI-H1581,502,CP724714,102,3.570766
SK-MM-2,210,Doxorubicin,125,0.960252
ECC10,121,Dinaciclib,121,-3.80574
TYK-nu,151,RU-SKI 43,309,4.994938
LC-2-ad,136,Cabozantinib,84,1.008999
CRO-AP2,650,Tozasertib,361,-3.091073
CAL-148,638,CGP-60474,95,-2.193104
THP-1,833,AGK2,14,1.673712
SNU-398,842,KU-55933,206,5.647615
MDA-MB-453,114,MIRA-1,229,5.034121
COLO-684,46,CP724714,102,4.278487
RPMI-8226,13,Bromosporine,78,0.419342
AGS,573,Camptothecin,85,-3.262315
KMS-12-BM,707,Mycophenolic acid,238,1.46876
TE-8,156,L-Oxonoreleagnine,208,4.741801
NUGC-4,359,SGC0946,331,3.371604
IST-SL2,80,Kobe2602,205,3.569628
DND-41,645,Ribociclib,306,2.250646
CAL-29,636,CZC24832,112,4.533589
SU-DHL-5,223,AZD8931,59,1.149547
CAL-148,638,Buparlisib,80,0.596734
KYAE-1,324,Afuresertib,11,1.209446
NCI-H1693,496,ABT737,7,3.165363
HCC1806,592,BPTES,77,2.973784
NCI-H2171,488,Thapsigargin,355,-4.343314
OVCAR-4,16,AT-7519,30,1.122799
SK-LMS-1,780,Pyridostatin,296,4.341098
MHH-CALL-4,198,YK-4-279,405,1.228169
WSU-DLCL2,228,Shikonin,332,1.140751
ZR-75-30,665,IMD-0354,189,1.036867
GCIY,116,Ribociclib,306,4.819089
HSC-2,378,PFI-1,279,2.905034
NH-12,366,WZ-1-84,395,5.086613
G-292-Clone-A141B1,580,Gemcitabine,153,4.545889
EC-GI-10,119,JQ1,198,2.796881
LU-139,133,Sapitinib,316,5.612522
RPMI-8866,284,WEHI-539,389,2.447703
Hs-766T,431,XAV939,398,4.61647
NCI-H2052,471,Tipifarnib,356,2.878443
EVSA-T,726,Dihydrorotenone,120,-0.18127
NCI-H1666,497,Capivasertib,86,3.934162
CAL-54,632,Doramapimod,124,5.136864
NCI-H1975,511,MK-1775,232,1.294435
HCE-4,1,NU7441,249,3.003782
ZR-75-30,665,Navitoclax,240,5.563896
639-V,687,CI-1033,97,1.885517
CTB-1,124,GSK2606414,164,3.370773
CAKI-1,641,Dinaciclib,121,-2.021653
CHP-126,127,GSK591,171,3.359467
OVTOKO,238,BMS-536924,73,1.658342
NCI-H2228,484,AZ6102,36,3.030691
NCI-H1869,517,AICA Ribonucleotide,15,6.900269
C32,604,PFI3,281,6.941341
A2058,538,Flavopiridol,142,0.921003
NCI-H1355,415,Bleomycin,70,4.057749
ABC-1,296,YM201636,406,2.887347
SLVL,197,SCH772984,323,1.477115
KURAMOCHI,346,Temozolomide,350,7.228437
OMC-1,87,FTI-277,147,2.053402
EW-7,58,Oxaliplatin,262,4.524308
NCI-H2227,485,AZ960,38,1.070712
RXF393,12,PD0325901,271,1.111111
RCC10RGB,83,MIM1,228,6.611188
SNU-475,855,Bryostatin 1,79,-2.884039
HOS,543,PAC-1,264,0.602942
RL95-2,762,Lenalidomide,213,5.545907
Hep3B2-1-7,439,Doxorubicin,125,-1.802378
GAMG,734,GSK2830371,167,5.873161
OC-314,74,Pictilisib,286,0.127578
NCI-H1694,495,Mitomycin-C,230,-0.821682
OACp4C,253,CCT007093,90,5.613337
MCF7,51,Tamoxifen,346,2.688411
ME-1,168,KU-55933,206,4.231665
BE2-M17,866,Flavopiridol,142,-1.484594
KYSE-180,715,MK-8776,234,3.397362
EVSA-T,726,Sepantronium bromide,328,-3.624767
SW1710,234,FTI-277,147,0.035936
PSN1,273,CI-1033,97,4.809585
NB4,241,Dasatinib,119,1.41467
HPAC,437,LIMK1 inhibitor BMS4,217,4.612103
NCI-H1623,501,FR-180204,146,5.277075
OAW-42,282,5-azacytidine,1,2.864756
HeLa,569,BPTES,77,3.390888
CAKI-1,641,AICA Ribonucleotide,15,7.967728
PA-1,809,LIMK1 inhibitor BMS4,217,4.604751
NCI-H1755,492,SGC0946,331,2.516616
HuO-3N1,372,Midostaurin,227,-1.892853
SU-DHL-1,209,AMG-319,21,4.487746
RL,763,NPK76-II-72-1,245,2.774211
MDA-MB-157,323,TWS119,368,1.943037
LN-405,173,GNE-317,155,3.209878
SR,19,I-CBP112,183,3.262559
NALM-6,242,Imatinib,188,2.560927
KYSE-220,343,AZD2014,42,2.790723
SW1463,561,OSI-027,257,2.306649
A2058,538,SB505124,320,3.743119
NCI-H1793,508,Dihydrorotenone,120,-0.420096
HCC-78,744,Dactolisib,117,-2.470466
LCLC-103H,175,Dihydrorotenone,120,2.304211
U-87-MG,850,BIBF-1120,66,3.584696
NCI-N87,814,NVP-ADW742,250,4.2335
MS-1,92,XMD13-2,400,2.091769
KNS-42,390,CP724714,102,5.12446
OVCA433,662,I-BET-151,180,1.864613
COLO-684,46,GSK1059615,159,-2.041995
NCI-H1734,493,Temozolomide,350,3.497353
SF268,11,GSK2110183B,162,4.551353
KP-N-YN,348,PHA-793887,283,4.374586
A549,612,Daporinad,118,-4.433267
COLO-679,125,Temsirolimus,351,2.61022
COLO-678,655,LIMK1 inhibitor BMS4,217,6.506921
HEC-1,382,ACY-1215,9,0.964868
KYSE-150,716,TWS119,368,1.077779
LNZTA3WT4,864,Alisertib,18,1.342193
MS-1,92,GSK429286A,170,4.831945
TC-71,233,GSK650394,172,5.003758
SJRH30,766,GSK2606414,164,3.81917
CAL-12T,639,Venetoclax,379,2.51316
NB5,99,Venetoclax,379,1.126074
RH-41,239,JW-7-24-1,200,0.947487
NCI-H226,44,Saracatinib,317,2.825619
NUGC-4,359,Doxorubicin,125,-1.311182
TC-71,233,GSK-LSD1,158,2.240866
GDM-1,736,Bromosporine,78,0.197395
T98G,832,SB505124,320,4.477257
KY821,345,GNE-317,155,-0.088594
JiyoyeP-2003,545,STF-62247,340,4.445651
KALS-1,395,Cediranib,93,2.030541
SCC-15,757,XMD8-85,402,3.779976
SK-LMS-1,780,VX-11e,386,3.096599
ES7,112,GSK-J4,157,0.993126
CAL-33,642,AT13148,31,2.694255
HCC-827,743,Cyclophosphamide,110,7.068307
PA-TU-8988T,260,Osimertinib,259,1.168334
CAS-1,67,GSK319347A,168,3.393234
NCI-H1650,499,RVX-208,312,6.553272
Daoy,601,SB505124,320,3.959494
451Lu,869,CRT0105950,106,1.52009
SW1271,820,Bicalutamide,68,5.077728
HEL,381,Tretinoin,364,3.764337
A2780,65,I-BRD9,182,3.332133
Hep3B2-1-7,439,XAV939,398,4.311651
647-V,672,GSK2606414,164,3.597981
SAS,181,BAY-61-3606,61,3.015723
LOXIMVI,52,GSK2801,166,4.523379
MDA-MB-330,409,CAY10603,88,0.983947
Raji,567,PF-00299804,276,2.142839
8505C,684,WEHI-539,389,3.972943
A388,535,Pyridostatin,296,5.719573
NCI-H510A,627,AGI-5198,12,4.369793
SW684,836,NSC319726,248,-1.478204
KURAMOCHI,346,MK-8776,234,4.808485
GI-ME-N,79,AS601245,27,3.380349
Hs-939-T,430,GNE-317,155,-0.256662
Mewo,338,P22077,263,5.028398
NAMALWA,414,CCT-018159,89,2.721387
HT-29,41,NU7441,249,1.673143
KP-4,138,RU-SKI 43,309,5.357337
Daudi,568,OSI-027,257,2.12283
NCI-H1092,421,AZD5582,50,2.130037
HLE,3,Crizotinib,105,2.928633
SH-4,753,MK-1775,232,1.085271
HeLa,569,kb NB 142-70,201,1.901339
KP-2,371,Fedratinib,140,1.932428
TE-15,94,LCL161,210,4.162289
Mewo,338,BIX02189,69,6.143752
A431,683,MG-132,226,-2.186179
BV-173,659,Sepantronium bromide,328,-5.673937
KY821,345,GSK2801,166,4.246553
COLO-829,615,Refametinib,304,0.319934
SUIT-2,195,AZD3514,43,3.279816
Farage,581,RVX-208,312,4.399352
KNS-42,390,S-Trityl-L-cysteine,313,1.274819
GI-ME-N,79,JNK Inhibitor VIII,197,6.229755
SNU-449,854,Phenformin,284,7.400133
HCE-4,1,AZD3514,43,3.495075
HEC-1,382,Piperlongumine,289,0.951373
DU-4475,689,TGX221,354,4.55814
PANC-02-03,808,Dihydrorotenone,120,1.721354
HT-1197,442,Fulvestrant,149,5.313991
HuCCT1,375,IPA-3,191,3.100541
HCC-366,746,AZD5991,51,5.895564
SW872,822,BIBR-1532,67,4.30429
NCI-H23,43,VE-822,376,3.008188
KARPAS-620,694,AMG-319,21,5.11862
NCI-H2122,463,SB216763,319,3.765592
YH-13,148,AZ6102,36,2.901146
UM-UC-3,843,MK-2206,233,3.493477
SNB75,18,AKT inhibitor VIII,16,3.302382
MDA-MB-157,323,WYE-125132,394,0.740527
EM-2,730,Ribociclib,306,2.272467
NCI-H1703,494,CCT-018159,89,3.561574
A498,35,NVP-TAE684,252,2.708709
ES7,112,Quizartinib,302,-0.042385
SW982,824,AZD6094,52,2.695759
EBC-1,288,UNC0642,373,1.57425
JHH-6,397,GSK-J4,157,2.985599
SNU-61,57,AZD8931,59,3.944794
TE-9,155,PFI-1,279,4.131529
Ca-Ski,623,NSC-87877,247,5.359067
SHP-77,752,ZSTK474,412,2.887893
CAL-12T,639,Linifanib,218,2.62917
MM1S,877,AICA Ribonucleotide,15,6.272804
PE-CA-PJ15,275,A-83-01,6,3.538542
786-0,36,Dacinostat,115,-4.475797
NCI-H209,466,ACY-1215,9,0.295945
Hep3B2-1-7,439,Podophyllotoxin bromide,291,0.295299
NCI-H1869,517,BIBF-1120,66,1.850749
NCI-H1573,503,EPZ004777,135,5.674908
AU565,609,AZD8835,58,2.312403
SF539,10,RU-SKI 43,309,4.920262
CHP-134,126,I-BET-762,181,2.691428
KYSE-70,709,CAY10603,88,1.497896
CHL-1,865,Bosutinib,76,2.249096
DOHH-2,671,Etoposide,138,-1.056096
NCI-H716,526,Pictilisib,286,1.457396
SW626,829,PFI3,281,5.618498
EW-11,60,VE-822,376,2.928445
NCI-H1355,415,Sphingosine Kinase 1 Inhibitor II,338,4.213025
EFM-192A,690,XMD14-99,401,5.00723
K-562,532,BMS-754807,74,3.151599
NCI-H1915,515,UNC0638,372,4.107487
MHH-NB-11,206,BIBR-1532,67,4.665115
COR-L23,312,PD173074,272,4.522139
NCI-H747,525,AZD6738,54,4.513191
QGP-1,188,Temsirolimus,351,0.705971
CW-2,123,Phenformin,284,4.157195
NCI-H810,785,NSC-207895,246,3.631579
CTB-1,124,Alisertib,18,-1.412721
SK-MEL-31,775,Gefitinib,152,3.599111
OCI-AML2,254,Staurosporine,339,-6.18729
NCI-H720,789,BMS-345541,71,3.181058
NCI-H69,790,CP724714,102,4.919925
SNU-C1,856,PF-562271,278,2.452152
NB13,102,A-443654,4,-0.517003
G-292-Clone-A141B1,580,SB52334,321,6.40326
HOP-62,39,glutathione,154,9.552566
no-10,363,SGC0946,331,2.919459
MOLM-13,247,QL-XII-47,300,-0.685225
SK-N-AS,772,AS601245,27,4.832661
KLE,451,Schweinfurthin A,324,4.817061
TOV-21G,830,Bicalutamide,68,4.669962
LCLC-103H,175,PHA-793887,283,0.815613
IGROV-1,54,Idelalisib,187,3.627044
NCI-H23,43,SN-38,335,-4.607059
NCI-H1666,497,Vismodegib,382,7.062316
NCI-H1993,510,LFM-A13,215,4.809909
COR-L88,306,WZ3105,396,0.132944
KNS-42,390,AGI-5198,12,5.264825
L-363,145,Ispinesib Mesylate,194,-4.325494
HuO-3N1,372,AZD8835,58,2.9429
NCI-H187,516,Cytarabine,111,2.166079
T98G,832,Entospletinib,131,3.133265
WIL2-NS,773,Ara-G,25,4.705812
LOU-NH91,171,Tenovin-6,353,3.011146
JHU-029,455,Tipifarnib,356,-0.4559
NCI-H2052,471,TW 37,367,0.261634
TE-441-T,834,Zibotentan,409,5.433585
C32,604,Pilaralisib,288,3.841329
OCI-AML5,267,Irinotecan,193,1.166985
B-CPAP,680,AZ6102,36,1.90982
HCC2998,29,TPCA-1,362,4.127465
C2BBe1,867,Epirubicin,133,0.967466
HCC-33,747,CP724714,102,3.765817
HCC1500,595,Wnt-C59,393,3.614012
SUP-T1,818,Zoledronate,411,3.708013
L-540,159,Embelin,129,1.76715
KOPN-8,719,BX795,82,0.749479
COLO-684,46,TWS119,368,4.062789
SK-N-DZ,771,ABT737,7,0.297647
CAS-1,67,Entospletinib,131,4.994005
CAL-29,636,ABT737,7,2.684398
NCI-H1623,501,SCH772984,323,1.626046
NCI-H2009,509,SL0101,334,5.106762
KYAE-1,324,Podophyllotoxin bromide,291,3.216919
TT,286,Foretinib,145,-0.405433
RL,763,Veliparib,378,4.570044
COLO-678,655,Fedratinib,140,3.293328
OSC-20,354,TW 37,367,0.046696
Hs-683,433,Linsitinib,219,5.407876
SU-DHL-6,224,Selisistat,326,4.396803
NCI-H2228,484,AST-1306,29,1.958069
VCaP,751,Crizotinib,105,2.279509
NCI-H209,466,Dacarbazine,114,4.85437
CCK-81,289,GSK2110183B,162,2.098836
JHOS-3,141,VE821,377,3.153615
RPMI-8402,220,AZD1332,40,1.716446
HT-3,445,Ibrutinib,184,3.901517
COR-L321,307,PI-103,285,-0.005067
KMRC-20,392,AKT inhibitor VIII,16,3.863432
EW-3,59,PLX-4720,290,5.495716
NCI-H2342,482,XMD14-99,401,5.149012
MDA-MB-468,406,Cediranib,93,1.889387
769-P,542,L-Oxonoreleagnine,208,3.413092
PEO1,274,Flavopiridol,142,0.937818
COLO-800,314,Bleomycin,70,0.024225
RT4,759,SB216763,319,5.158018
CAL-120,640,Alectinib,17,4.590708
TCCSUP,851,Alisertib,18,2.350317
NCI-H1781,507,I-CBP112,183,4.863956
Hey,664,AZD5438,49,2.013274
CML-T1,656,Paclitaxel,265,-5.457797
KYSE-150,716,NSC-87877,247,4.816236
CAS-1,67,Dactinomycin,116,-3.985991
MKN45,93,T0901317,343,5.336957
SK-LMS-1,780,Mycophenolic acid,238,-0.011018
NCI-H810,785,Teniposide,352,0.349475
NU-DUL-1,251,Vorinostat,384,0.022856
TGW,154,P22077,263,4.434708
RERF-LC-Sq1,184,LCL161,210,3.748518
CFPAC-1,37,Epirubicin,133,-1.437813
HCC1569,594,Taselisib,348,0.419508
NCI-H1836,519,EPZ5676,136,5.237664
Mewo,338,Voxtalisib,385,4.848971
RCC-JF,552,Wee1 Inhibitor,388,0.165444
CESS,617,KU-55933,206,4.31566
FTC-133,68,AZD3759,44,2.289717
TE-5,177,Doramapimod,124,6.001558
NCI-H841,803,I-CBP112,183,4.492326
COR-L321,307,Pemetrexed,274,3.513684
SLVL,197,AZD5991,51,2.218562
HC-1,749,GDC0810,151,4.616702
SK-PN-DW,768,NVP-TAE684,252,-0.325178
NCI-H1651,498,GSK690693,173,4.827569
EB2,584,AZD6482,53,3.779891
HMV-II,131,CHIR-99021,96,3.314072
KG-1,530,Teniposide,352,0.332291
C-33-A,603,AZ20,35,-0.420269
NB4,241,PD173074,272,1.471645
KMH-2,400,ZG-10,408,1.482418
TK10,26,RVX-208,312,7.122464
NB4,241,HG6-64-1,179,0.449989
OSC-20,354,Linsitinib,219,4.791993
OPM-2,263,alpha-lipoic acid,20,7.095037
23132-87,670,GSK2830371,167,5.059934
KYM-1,344,MK-1775,232,-0.505707
GCT,575,GSK1070916,160,3.659887
NCI-H838,817,Lapatinib,209,3.419623
MDA-MB-468,406,BX795,82,0.461746
ST486,857,Erlotinib,137,3.24768
MKN1,113,Fedratinib,140,2.234653
TE-4,95,Camptothecin,85,-1.149737
NCI-H1688,533,Afatinib,10,1.800303
EC-GI-10,119,Schweinfurthin A,324,2.59803
ALL-PO,66,Nilotinib,243,0.961701
HCC1937,591,AZ20,35,1.395561
TK,153,HG-5-88-01,178,3.001149
PA-TU-8902,262,Epirubicin,133,0.408116
LXF-289,169,A-443654,4,-1.870941
HLE,3,UMI-77,370,2.164365
CAKI-1,641,Afuresertib,11,2.543352
GP5d,330,Voxtalisib,385,3.82983
OCI-AML3,268,PRT062607,295,0.676264
MV-4-11,424,CX-5461,108,0.421966
NCI-H1651,498,AZD8055,56,0.418356
HTC-C3,298,ACY-1215,9,0.620683
ESO26,332,QL-XI-92,299,2.702819
BFTC-905,678,UNC0638,372,2.861237
SBC-1,192,GSK2606414,164,5.491202
EoL-1-cell,118,Sphingosine Kinase 1 Inhibitor II,338,3.058816
NCI-H661,791,Epothilone B,134,-4.3465
KASUMI-1,693,KU-60019,207,1.912861
CADO-ES1,658,LMP744,221,-2.651794
A704,572,(5Z)-7-Oxozeaenol,0,0.954968
IST-MES1,77,IC-87114,185,5.411763
GAMG,734,Teniposide,352,-0.329823
CFPAC-1,37,WZ3105,396,0.731394
MV-4-11,424,Embelin,129,3.236894
769-P,542,Entospletinib,131,4.349717
RT-112,219,Leflunomide,212,5.389329
